22,1,16050353,21050353
22,2,21050354,26050354
22,3,26050355,31050355
22,4,31050356,36050356
22,5,36050357,41050357
22,6,41050358,46050358
22,7,46050359,51050359
21,1,10708231,15708231
21,2,15708232,20708232
21,3,20708233,25708233
21,4,25708234,30708234
21,5,30708235,35708235
21,6,35708236,40708236
21,7,40708237,45708237
20,1,63244,5063244
20,2,5063245,10063245
20,3,10063246,15063246
20,4,15063247,20063247
20,5,20063248,25063248
20,6,25063249,30063249
20,7,30063250,35063250
20,8,35063251,40063251
20,9,40063252,45063252
20,10,45063253,50063253
20,11,50063254,55063254
20,12,55063255,60063255
19,1,157003,5157003
19,2,5157004,10157004
19,3,10157005,15157005
19,4,15157006,20157006
19,5,20157007,25157007
19,6,25157008,30157008
19,7,30157009,35157009
19,8,35157010,40157010
19,9,40157011,45157011
19,10,45157012,50157012
19,11,50157013,55157013
18,1,12842,5012842
18,2,5012843,10012843
18,3,10012844,15012844
18,4,15012845,20012845
18,5,20012846,25012846
18,6,25012847,30012847
18,7,30012848,35012848
18,8,35012849,40012849
18,9,40012850,45012850
18,10,45012851,50012851
18,11,50012852,55012852
18,12,55012853,60012853
18,13,60012854,65012854
18,14,65012855,70012855
18,15,70012856,75012856
17,1,3587,5003587
17,2,5003588,10003588
17,3,10003589,15003589
17,4,15003590,20003590
17,5,20003591,25003591
17,6,25003592,30003592
17,7,30003593,35003593
17,8,35003594,40003594
17,9,40003595,45003595
17,10,45003596,50003596
17,11,50003597,55003597
17,12,55003598,60003598
17,13,60003599,65003599
17,14,65003600,70003600
17,15,70003601,75003601
17,16,75003602,80003602
16,1,84045,5084045
16,2,5084046,10084046
16,3,10084047,15084047
16,4,15084048,20084048
16,5,20084049,25084049
16,6,25084050,30084050
16,7,30084051,35084051
16,8,35084052,40084052
16,9,40084053,45084053
16,10,45084054,50084054
16,11,50084055,55084055
16,12,55084056,60084056
16,13,60084057,65084057
16,14,65084058,70084058
16,15,70084059,75084059
16,16,75084060,80084060
16,17,80084061,85084061
16,18,85084062,90084062
15,1,20015396,25015396
15,2,25015397,30015397
15,3,30015398,35015398
15,4,35015399,40015399
15,5,40015400,45015400
15,6,45015401,50015401
15,7,50015402,55015402
15,8,55015403,60015403
